,Country,case,Criminel,Victimes,Périodes,Condamnation,Peine,Notes,begining,End,name
0,Afrique du Sud,  Asande Baninzi  (1983-) (au moins 14 victimes). ,  Asande Baninzi  ,au moins 14 victimes,,,,,,,South Africa
1,Afrique du Sud,  Elias Chauke  (5 victimes). ,  Elias Chauke  ,5 victimes,,,,,,,South Africa
2,Afrique du Sud,  Sibusiso Duma  (1984-) (7 victimes) en 2007. ,  Sibusiso Duma  ,7 victimes,,,,,,,South Africa
3,Afrique du Sud,  Gamal Salie Lineveldt  (4 victimes). ,  Gamal Salie Lineveldt  ,4 victimes,,,,,,,South Africa
4,Afrique du Sud,  Maoupa Cedric Maake  (de 27 à 35 victimes) entre 1996 et 1997. « Le tueur de Wemmer Pan ». ,  Maoupa Cedric Maake  ,de 27 à 35 victimes,,,,,,,South Africa
5,Afrique du Sud,  Bulelani Mabhayi    (af)   (1974-) (20 victimes) entre 2007 et 2012. « Le monstre de Tholeni ». ,  Bulelani Mabhayi    ,20 victimes,,,,,,,South Africa
6,Afrique du Sud,  Jimmy Maketta  (16 victimes) en 2005. ,  Jimmy Maketta  ,16 victimes,,,,,,,South Africa
7,Afrique du Sud,  Johannes Mashiane    (en)   (13 victimes) entre 1982 et 1989. « La bête d' Atteridgeville  ». ,  Johannes Mashiane    ,13 victimes,,,,,,,South Africa
8,Afrique du Sud,  Lazarus Mazingane  (16 ou 17 victimes). « Le tueur en série de Nasrec ». ,  Lazarus Mazingane  ,16 ou 17 victimes,,,,,,,South Africa
9,Afrique du Sud,  Daisy de Melker  (1886-1932) (3 victimes) entre 1923 et 1932. Infirmière empoisonneuse. Condamnée à mort et pendue. ,  Daisy de Melker  ,3 victimes,,,,,,,South Africa
10,Afrique du Sud,  Samuel Bongani Mfeka  (au moins 6 victimes). ,  Samuel Bongani Mfeka  ,au moins 6 victimes,,,,,,,South Africa
11,Afrique du Sud,  David Mmbengwa  (7 victimes). ,  David Mmbengwa  ,7 victimes,,,,,,,South Africa
12,Afrique du Sud,  Jack Mogale    (en)   (16 victimes) entre 2008 et 2009. « Le tueur en série de West-End ». ,  Jack Mogale    ,16 victimes,,,,,,,South Africa
13,Afrique du Sud,  Moses Mokgethi  (6 victimes). ,  Moses Mokgethi  ,6 victimes,,,,,,,South Africa
14,Afrique du Sud,  Elifasi Msomi    (en)   (15 victimes) entre 1953 et 1955. « Le tueur à la hache ». ,  Elifasi Msomi    ,15 victimes,,,,,,,South Africa
15,Afrique du Sud,  Nicholas Lungisa Ncama    (en)   (1968-) (3 à 6 victimes) en 1997. Violeur étrangleur. ,  Nicholas Lungisa Ncama    ,3 à 6 victimes,,,,,,,South Africa
16,Afrique du Sud,  Velaphi Ndlangamandla    (en)   (1966-) 19 victimes en 1998. « Le saloon killer ». ,  Velaphi Ndlangamandla    ,1966-,,,,,,,South Africa
17,Afrique du Sud,  Sello Alphred Phalane  (5 victimes). ,  Sello Alphred Phalane  ,5 victimes,,,,,,,South Africa
18,Afrique du Sud,  David Randitsheni    (en)   (au moins 10 victimes) entre 2004 et 2008. ,  David Randitsheni    ,au moins 10 victimes,,,,,,,South Africa
19,Afrique du Sud,  David Selepe  (6 ou 7 victimes). ,  David Selepe  ,6 ou 7 victimes,,,,,,,South Africa
20,Afrique du Sud,  Samuel Sidyno    (en)   (1962-) (7 victimes) entre 1998 et 1999. « Le tueur en série de Capital Park ». ,  Samuel Sidyno    ,7 victimes,,,,,,,South Africa
21,Afrique du Sud,  Norman Afzal Simons  (22 victimes) entre 1986 et 1994. « L'étrangleur de la gare ». ,  Norman Afzal Simons  ,22 victimes,,,,,,,South Africa
22,Afrique du Sud,  Moses Sithole  (1964-) (38 victimes). Auteur des « meurtres ABC ». ,  Moses Sithole  ,38 victimes,,,,,,,South Africa
23,Afrique du Sud,  Thozamile Taki    (en)   (13 victimes) « Le tueur en série de la canne à sucre ». ,  Thozamile Taki    ,13 victimes,,,,,,,South Africa
24,Afrique du Sud,  Sipho Thwala  (1968-) (19 victimes) entre 1994 et 1997. « L'étrangleur de Phoenix ». ,  Sipho Thwala  ,19 victimes,,,,,,,South Africa
25,Afrique du Sud,  Gert van Rooyen  (1938-1990) et  Joey Haarhoff  (au moins 6 victimes) entre 1988 et 1989. ,  Gert van Rooyen  ,au moins 6 victimes,,,,,,,South Africa
26,Afrique du Sud,  Louis van Schoor  et Sabrina van Schoor (40 victimes). ,  Louis van Schoor  et Sabrina van Schoor ,40 victimes,,,,,,,South Africa
27,Afrique du Sud,  Stewart Wilken  (1966-) (+9/10 victimes)   [ 1 ]    entre 1990 et 1997. « Boetie Boer ». ,  Stewart Wilken  ,+9/10 victimes,,,,,,,South Africa
28,Afrique du Sud,  Elias Xitavhudzi  (?-1960) (16 victimes) entre 1950 et 1959. « Pangaman ». ,  Elias Xitavhudzi  ,16 victimes,,,,,,,South Africa
29,Afrique du Sud,  Christopher Mhlengwa Zikode  (18 victimes) entre 1994 et 1995. « Le tueur en série de Donnybrook ». ,  Christopher Mhlengwa Zikode  ,18 victimes,,,,,,,South Africa
30,Allemagne,"  Wolfgang Abel    (de)   (1959-) (28 victimes) de 1977 à 1984. « Ludwig », complice de Marco Furlan en Italie. ",  Wolfgang Abel    ,28 victimes,,,,,,,Germany
31,Allemagne,  Jürgen Bartsch  (1946-1976) (4 victimes). ,  Jürgen Bartsch  ,4 victimes,,,,,,,Germany
32,Allemagne,  Irène Becker  (5 victimes). Infirmière. ,  Irène Becker  ,5 victimes,,,,,,,Germany
33,Allemagne,  Horst David    (de)   (1938-) (7 victimes). ,  Horst David    ,7 victimes,,,,,,,Germany
34,Allemagne,  Olaf Däter    (de)   (1969-) (5 victimes). ,  Olaf Däter    ,5 victimes,,,,,,,Germany
35,Allemagne,  Karl Denke  (1870-1924) (au moins 40 victimes). ,  Karl Denke  ,au moins 40 victimes,,,,,,,Germany
36,Allemagne,  Hermann Duft et Hans Wilhelm Bassenauer    (en)   (1938-1969) (6 victimes) en 1969 en Grèce. ,  Hermann Duft et Hans Wilhelm Bassenauer    ,6 victimes,,,,,,,Germany
37,Allemagne,"  Volker Eckert  (1959-2007) (13 à plus de 19 victimes) en  France ,  Allemagne  et  Espagne . Arrêté en 2006   [ 2 ]   . ",  Volker Eckert  ,13 à plus de 19 victimes,,,,,,,Germany
38,Allemagne," Peter Franz (3 victimes) Une femme, une petite fille de 12 ans en 1993 et une petite fille de 9 ans en France en 1994. ", Peter Franz ,3 victimes,,,,,,,Germany
39,Allemagne,  Christman Genipperteinga  (   16  e   siècle ) (964 victimes). ,  Christman Genipperteinga  ,964 victimes,,,,,,,Germany
40,Allemagne,  Gesche Gottfried  (1785-1831) (15 victimes) entre 1813 et 1827. Empoisonneuse. ,  Gesche Gottfried  ,15 victimes,,,,,,,Germany
41,Allemagne,  Carl Großmann  (1863-1921) (au moins 26 à 50 victimes). ,  Carl Großmann  ,au moins 26 à 50 victimes,,,,,,,Germany
42,Allemagne,  Christian Grotheer  (au moins 2 victimes). « Le tueur d'internet ». ,  Christian Grotheer  ,au moins 2 victimes,,,,,,,Germany
43,Allemagne,  Frank Gust    (de)   (1969-) (4 victimes) de 1994 à 1998. ,  Frank Gust    ,4 victimes,,,,,,,Germany
44,Allemagne,  Fritz Haarmann  (1879-1925) (de 24 à 27 victimes). Le « boucher de  Hanovre  »   [ 3 ]   . ,  Fritz Haarmann  ,de 24 à 27 victimes,,,,,,,Germany
45,Allemagne,"  Niels Högel  (1976-) Infirmier, il tuait ses patients (Condamné pour 6 meurtres, il reconnait pourtant plus de 90 empoisonnements dont 30 mortels et la justice atteste que le nombre de meurtres ne peut être inférieur à 106). ",  Niels Högel  ,,,,,,,,Germany
46,Allemagne,  Thomas Holst    (de)   (1966-) (3 victimes) de 1987 à 1990. ,  Thomas Holst    ,3 victimes,,,,,,,Germany
47,Allemagne,  Fritz Honka  (1935-1998) (4 victimes). ,  Fritz Honka  ,4 victimes,,,,,,,Germany
48,Allemagne,  Joachim Kroll  (1933-1991) (13 ou 14 victimes). Le « cannibale de la Ruhr ». ,  Joachim Kroll  ,13 ou 14 victimes,,,,,,,Germany
49,Allemagne,  Peter Kürten  (ou Kuerten) (1883-1931) (9 victimes). Le «  vampire  de  Düsseldorf  »   [ 4 ]   . ,  Peter Kürten  ,9 victimes,,,,,,,Germany
50,Allemagne,  Thomas Lemke    (de)   (3 victimes) en 1995 et 1996. ,  Thomas Lemke    ,3 victimes,,,,,,,Germany
51,Allemagne,  Stephan Letter  (de 29 à 80 victimes). Infirmier arrêté en 2006. ,  Stephan Letter  ,de 29 à 80 victimes,,,,,,,Germany
52,Allemagne,  Bruno Ludke  (au moins 51 à 86 victimes ?). ,  Bruno Ludke  ,au moins 51 à 86 victimes ?,,,,,,,Germany
53,Allemagne,"  Ulrich Muenstermann  (1958-) (15 victimes). Vagabond en  Allemagne , en  Angleterre  et en  France . ",  Ulrich Muenstermann  ,15 victimes,,,,,,,Germany
54,Allemagne,"  Martin Ney  (1970-) (4 victimes) et près de 40 viols et agressions sexuelles entre 1992 et 1999. « L'homme en noir », « l'homme à la cagoule » ou « l'homme au masque ». Aveux récents dans l'affaire Jonathan Coulom en France. ",  Martin Ney  ,4 victimes,,,,,,,Germany
55,Allemagne,  Peter Niers  (ou Nirsch ou Niersch ou Nyers ou Nyersch) (-1581) (544 victimes). ,  Peter Niers  ,544 victimes,,,,,,,Germany
56,Allemagne,  Marianne Nölle  (1938-) (au moins 7 victimes). ,  Marianne Nölle  ,au moins 7 victimes,,,,,,,Germany
57,Allemagne,  Werner Pinzner    (de)   (1947-1986) (de 7 à 10 victimes). ,  Werner Pinzner    ,de 7 à 10 victimes,,,,,,,Germany
58,Allemagne,  Rudolf Pleil    (de)   (1924-1958) (entre 14 et 25 victimes) en 1946 et 1947. « Le faiseur de mort ». ,  Rudolf Pleil    ,entre 14 et 25 victimes,,,,,,,Germany
59,Allemagne,  Norbert Poehlke  (1951-1985) (6 victimes). ,  Norbert Poehlke  ,6 victimes,,,,,,,Germany
60,Allemagne,  Heinrich Pommerenke    (de)   (1937-2008) (4 victimes) en 1959. « La bête de la  Forêt-Noire  ». ,  Heinrich Pommerenke    ,4 victimes,,,,,,,Germany
61,Allemagne,  Thomas Rung  (1961-) (7 victimes) 6 femmes et un homme de 1983 à 1995. Condamné en 1996 deux fois à la  prison à vie . ,  Thomas Rung  ,7 victimes,,,,,,,Germany
62,Allemagne,  Egidius Schiffer  (5 victimes). ,  Egidius Schiffer  ,5 victimes,,,,,,,Germany
63,Allemagne,  Ulrich Schmidt    (de)   (5 victimes) entre 1987 et 1989. « Le tueur des jours fériés ». ,  Ulrich Schmidt    ,5 victimes,,,,,,,Germany
64,Allemagne,"  Wolfgang Schmidt    (de)   (1966-) (6 victimes) de 1989 à 1991. « La bête de Beelitz », « Le géant rose ». ",  Wolfgang Schmidt    ,6 victimes,,,,,,,Germany
65,Allemagne,  Peter Stumbb  (ou Stubbe ou Stube) (1525-1589) (15 victimes). « Loup-garou de Bedburg ». Cannibale. ,  Peter Stumbb  ,15 victimes,,,,,,,Germany
66,Allemagne,  Eugène Weidmann  (1908-1939) (au moins 6 victimes) en 1937 en France. Dernier condamné à mort guillotiné en place publique à  Versailles  en 1939   [ 5 ]   . ,  Eugène Weidmann  ,au moins 6 victimes,,,,,,,Germany
67,Allemagne,"  Dieter Zurwehme    (de)   (1942-). « Le tueur fou du Rhin ». Suspecté d'être l'auteur de la tuerie de Monfort (Gers), avant que Kamel Ben Salah ne soit identifié. ",  Dieter Zurwehme    ,,,,,,,,Germany
68,Allemagne,  Anna Maria Zwanziger  (1760-1811) (5 victimes) entre 1800 et 1811. A été décapitée. ,  Anna Maria Zwanziger  ,5 victimes,,,,,,,Germany
69,Argentine,  Cayetano Santos Godino  (1896-1944) (4 victimes) en 1912. « Le petit aux oreilles décollées ». Meurt en prison. ,  Cayetano Santos Godino  ,4 victimes,,,,,,,Argentina
70,Argentine,  Francisco Antonio Laureana    (es)   (1952-1975) (13 victimes) entre 1974 et 1975. Abattu par la police le  27 février 1975 . ,  Francisco Antonio Laureana    ,13 victimes,,,,,,,Argentina
71,Argentine,  Robledo Puch  (1952-) (11 victimes). L'« ange de la mort » ou « l'ange noir ». Condamné à perpétuité en 1980. ,  Robledo Puch  ,11 victimes,,,,,,,Argentina
72,Australie,  David Birnie  (1951-2005) et Catherine Birnie (1951-) (4 victimes) en 1986. Auteurs des « meurtres Moorhouse ». ,  David Birnie  ,4 victimes,,,,,,,Australia
73,Australie,  Gregory Brazel    (en)   (1954-) (3 victimes) entre 1974 et 1990. ,  Gregory Brazel    ,3 victimes,,,,,,,Australia
74,Australie,"  John Bunting, Robert Wagner, James Vlassakis et Mark Haydon    (en)   (11 victimes). Auteurs des « meurtres de Snowtown » ou des « meurtres des corps en barils ». ","  John Bunting, Robert Wagner, James Vlassakis et Mark Haydon    ",11 victimes,,,,,,,Australia
75,Australie,  Eric Edgar Cooke  (1931-1964) (8 victimes). ,  Eric Edgar Cooke  ,8 victimes,,,,,,,Australia
76,Australie,  Bandali Debs    (en)   (1953-) (4 victimes) entre 1995 et 1998. ,  Bandali Debs    ,4 victimes,,,,,,,Australia
77,Australie,  Paul Denyer  (1972-) (3 victimes) entre 1990 et 1993. Le « tueur en série de Frankston ». ,  Paul Denyer  ,3 victimes,,,,,,,Australia
78,Australie,  Peter Dupas  (1953-) (3 à 6 victimes) entre 1974 et 1999. ,  Peter Dupas  ,3 à 6 victimes,,,,,,,Australia
79,Australie,  Kathleen Folbigg    (en)   (1967-) (4 victimes) entre 1991 et 1999. Infanticide. ,  Kathleen Folbigg    ,4 victimes,,,,,,,Australia
80,Australie,  Leonard Fraser  (1951-2007) (4 victimes). Le « violeur de Rockhampton ». ,  Leonard Fraser  ,4 victimes,,,,,,,Australia
81,Australie,  John Wayne Glover  (1932-2005) (6 victimes) entre 1989 et 1990. « Le tueur de mamies ». ,  John Wayne Glover  ,6 victimes,,,,,,,Australia
82,Australie,  Caroline Grills    (en)   (1890-1960) (4 victimes) entre 1947 et 1953. Empoisonneuse. ,  Caroline Grills    ,4 victimes,,,,,,,Australia
83,Australie,  Paul Steven Haigh    (en)   (1957-) (7 victimes) entre 1978 et 1991. ,  Paul Steven Haigh    ,7 victimes,,,,,,,Australia
84,Australie,  Matthew James Harris  (1968-) (3 victimes) en 1998. ,  Matthew James Harris  ,3 victimes,,,,,,,Australia
85,Australie,  Thomas Jeffries    (en)   (ou Jefferies) (?-1826) (5 victimes). Cannibale. ,  Thomas Jeffries    ,5 victimes,,,,,,,Australia
86,Australie,  John Lynch    (en)   (1813-1842) (10 victimes) entre 1835 et 1841. « Le meurtrier à la hache de Berrima ». ,  John Lynch    ,10 victimes,,,,,,,Australia
87,Australie,  William MacDonald  (1924-2015) (5 victimes) entre 1961 et 1963. Le « mutilateur ». ,  William MacDonald  ,5 victimes,,,,,,,Australia
88,Australie,  John et Sarah Makin    (en)   (12 victimes). ,  John et Sarah Makin    ,12 victimes,,,,,,,Australia
89,Australie,  Ivan Milat  (1944-2019) (7 victimes) entre 1989 et 1993. « Le tueur de randonneurs ». ,  Ivan Milat  ,7 victimes,,,,,,,Australia
90,Australie,  James Miller et Christopher Worrell    (en)   (7 victimes) en 1976 et 1977. Les « meurtriers de Truro ». ,  James Miller et Christopher Worrell    ,7 victimes,,,,,,,Australia
91,Australie,  Derek Percy    (en)   (1948-2013) (9 victimes) dans les années 1960. ,  Derek Percy    ,9 victimes,,,,,,,Australia
92,Australie,  Martha Needle    (en)   (1863-1894) (5 victimes). « La veuve noire de Richmond ». Empoisonneuse. Pendue. ,  Martha Needle    ,5 victimes,,,,,,,Australia
93,Australie,  Lindsay Robert Rose    (en)   (5 victimes) entre 1984 et 1994. ,  Lindsay Robert Rose    ,5 victimes,,,,,,,Australia
94,Australie,  Arnold Sodeman    (en)   (1899-1936) (4 victimes) entre 1930 et 1935. L'« étrangleur d'écolières ». Pendu. ,  Arnold Sodeman    ,4 victimes,,,,,,,Australia
95,Autriche,  Elfriede Blauensteiner    (de)   (1931-2003) (3 victimes). « La veuve noire ». ,  Elfriede Blauensteiner    ,3 victimes,,,,,,,Austria
96,Autriche,  Max Gufler    (de)   (1918-1966) (4 à 18 victimes) entre 1946 et 1958. ,  Max Gufler    ,4 à 18 victimes,,,,,,,Austria
97,Autriche,  Werner Kniesek    (de)  (1946-) (4 victimes). ,  Werner Kniesek    ,4 victimes,,,,,,,Austria
98,Autriche,  Harald Sassak    (de)   (1948-2013) (7 victimes). ,  Harald Sassak    ,7 victimes,,,,,,,Austria
99,Autriche,  Karl Swiatek  (+6 victimes). ,  Karl Swiatek  ,+6 victimes,,,,,,,Austria
100,Autriche,  Jack Unterweger  (1950-1994) (au moins 11 à 15 victimes) entre 1974 et 1992. « Jack l'écrivain » ou « L'étrangleur de Vienne ». ,  Jack Unterweger  ,au moins 11 à 15 victimes,,,,,,,Austria
101,Autriche,"  Waltraud Wagner, Irene Leidolf, Stefanija Meyer et Maria Gruber    (de)   (+49 à +200 victimes) entre 1983 et 1989. Infirmières. « Les anges de la mort de Lainz ». ","  Waltraud Wagner, Irene Leidolf, Stefanija Meyer et Maria Gruber    ",+49 à +200 victimes,,,,,,,Austria
102,Belgique,"  Michel Fourniret  (1942-2003) (11 victimes) soupçonnés dans plusieurs autres affaires. Condamné à la perpétuité incompressible {Auxerre, Châlons-en-Champagne, Charleville-Mézières, Saint-Servais, Nantes, Sedan} ",  Michel Fourniret  ,11 victimes,,,,,,,Belgium
103,Belgique,"  Marie Becker  (1879-1942) (11 victimes). « L'empoisonneuse du siècle », « la veuve Becker », « la veuve noire »   [ 6 ]   . ",  Marie Becker  ,11 victimes,,,,,,,Belgium
104,Belgique," Michel Bellen (1946-) (3 victimes) une tentative de meurtre et un meurtre en 1964, un meurtre en 1965 et un troisième en 1982. « L'étrangleur de Linkeroever ». ", Michel Bellen ,3 victimes,,,,,,,Belgium
105,Belgique,  Steven Daubioul  (1986-) (3 victimes) de 2005 à 2013 à Lodelinsart. ,  Steven Daubioul  ,3 victimes,,,,,,,Belgium
106,Belgique,  Rik Debrabandere  (1960-) (3 victimes) en 1996 dans trois pays avec son complice. Travesti. Condamnés à perpétuité. ,  Rik Debrabandere  ,3 victimes,,,,,,,Belgium
107,Belgique,  Marc Dutroux  (5 victimes) de 1986 à 1996. Dans l' Affaire Dutroux . ,  Marc Dutroux  ,5 victimes,,,,,,,Belgium
108,Belgique,  Ronald Janssen  (entre 3 et 4 victimes) et 20 viols de 1990 à 2006 découverts au début de l'année 2010. ,  Ronald Janssen  ,entre 3 et 4 victimes,,,,,,,Belgium
109,Belgique,  Marie-Thérèse Joniaux  (1844-1923) (3 victimes) des membres de sa famille de 1892 à 1894. Empoisonneuse. ,  Marie-Thérèse Joniaux  ,3 victimes,,,,,,,Belgium
110,Belgique,  Mohammed Lahboubi  (4 victimes) de 1985 à 1993. Tue quatre personnes de sa famille en les faisant passer pour des dealers. ,  Mohammed Lahboubi  ,4 victimes,,,,,,,Belgium
111,Belgique,  András Pándy  (1927-2013) (6 à 13 victimes)   [ 7 ]    de 1985 à 1989. ,  András Pándy  ,6 à 13 victimes,,,,,,,Belgium
112,Belgique, Le «  dépeceur de Mons  » (5 victimes) de 1993 à 2001. Non identifié. , Le «  dépeceur de Mons  » ,5 victimes,,,,,,,Belgium
113,Belgique,  Nestor Pirotte  (1933-2000) (7 victimes). ,  Nestor Pirotte  ,7 victimes,,,,,,,Belgium
114,Belgique, Michel Proot (1951-) (3 victimes) En Belgique en 1980. En France son ex-femme en 1993 et une amie en 1994. , Michel Proot ,3 victimes,,,,,,,Belgium
115,Belgique,  Michel Stockx  (1942-2001) (entre 3 et 7 victimes) de 1989 à 1991. Pédophile viole et assassine 3 enfants. Condamné à 20 ans de prison. Suspecté dans plusieurs autres affaires. Meurt brûlé dans l'incendie de l'atelier de la prison. ,  Michel Stockx  ,entre 3 et 7 victimes,,,,,,,Belgium
116,Belgique,  Gustaaf « Staf » Van Eyken  (3 victimes) de 1971 à 1972. « Le vampire de Muizen ». Toujours détenu. ,  Gustaaf « Staf » Van Eyken  ,3 victimes,,,,,,,Belgium
117,Biélorussie,  Guennadi Mikhassevitch    (en)   (1947-1987) (de 36 à 43 victimes) entre 1971 et 1985. ,  Guennadi Mikhassevitch    ,de 36 à 43 victimes,,,,,,,Belarus
118,Brésil,  Francisco de Assis Pereira  (1967-) (11 victimes) entre 1997 et 1998 « Le maniaque du parc ». ,  Francisco de Assis Pereira  ,11 victimes,,,,,,,Brazil
119,Brésil,  Marcelo Costa de Andrade    (en)   (1967-) (14 victimes) en 1991 « Le vampire de Niterói ». ,  Marcelo Costa de Andrade    ,14 victimes,,,,,,,Brazil
120,Brésil,  Abraão José Bueno    (en)   (1977-) (4 victimes) en 2005. ,  Abraão José Bueno    ,4 victimes,,,,,,,Brazil
121,Brésil,  Pedro Rodrigues Filho  (1954-) (70-100+ victimes) entre 1968 et 2003. « Pedrinho Matador ». ,  Pedro Rodrigues Filho  ,70-100+ victimes,,,,,,,Brazil
122,Brésil,  Tiago Henrique Gomes da Rocha    (en)   (39 victimes) entre 2011 et 2014. ,  Tiago Henrique Gomes da Rocha    ,39 victimes,,,,,,,Brazil
123,Brésil,  Edson Izidoro Guimarães    (en)   (1957-) (de 4 à 131 victimes) en 1999. « L'infirmier de la mort ». ,  Edson Izidoro Guimarães    ,de 4 à 131 victimes,,,,,,,Brazil
124,Brésil,  Anísio Ferreira de Sousa    (en)   (de 3 à 19 victimes) des garçons entre 1989 et 1992. Docteur. ,  Anísio Ferreira de Sousa    ,de 3 à 19 victimes,,,,,,,Brazil
125,Canada,  Paul Bernardo  (1964-) et  Karla Homolka  (1970-) (3 victimes) « Ken et Barbie ». ,  Paul Bernardo  ,3 victimes,,,,,,,Canada
126,Canada,  Wayne Boden  (1948-2006) (5 victimes). ,  Wayne Boden  ,5 victimes,,,,,,,Canada
127,Canada,  Angelo Colalillo  (?-2006) (3 victimes) entre 1993 et 2002. ,  Angelo Colalillo  ,3 victimes,,,,,,,Canada
128,Canada,  John Martin Crawford  (1962-) (3 victimes) entre 1981 et 1992. ,  John Martin Crawford  ,3 victimes,,,,,,,Canada
129,Canada,  Léopold Dion  (1920-1972) (4 à 6 victimes) le « Monstre de Pont-Rouge ». ,  Léopold Dion  ,4 à 6 victimes,,,,,,,Canada
130,Canada,  William Fyfe  (1955-) (9 à 22 victimes) entre 1979 et 1999. ,  William Fyfe  ,9 à 22 victimes,,,,,,,Canada
131,Canada, Paul Cecil Gillis (8 victimes) , Paul Cecil Gillis ,8 victimes,,,,,,,Canada
132,Canada,  Keith Jesperson  (1955-) (8 victimes) entre 1990 et 1995. ,  Keith Jesperson  ,8 victimes,,,,,,,Canada
133,Canada,  Gilbert Paul Jordan  (10 victimes) entre 1965 et 1988. ,  Gilbert Paul Jordan  ,10 victimes,,,,,,,Canada
134,Canada,  Nelson Lechasseur  (3 victimes). Bat à mort un pédophile en 1979. Abat John Deliva 33 ans en bordure d'une piste cyclable du parc Jean-Paul-Vincent de Longueuil en  mai 1984 . Viole et étrangle Claude Ferron dans son appartement à Côte-des-Neiges le  3 novembre 1993 . ,  Nelson Lechasseur  ,3 victimes,,,,,,,Canada
135,Canada,  Allan Legere  (1948-) (5 victimes) en 1989. ,  Allan Legere  ,5 victimes,,,,,,,Canada
136,Canada,  Bruce MacArthur    (en)   (au moins 5 victimes) entre 2010 et 2017. ,  Bruce MacArthur    ,au moins 5 victimes,,,,,,,Canada
137,Canada,  Michael Wayne McGray  (1965-) (7 à 18 victimes). ,  Michael Wayne McGray  ,7 à 18 victimes,,,,,,,Canada
138,Canada,"  Meurtrier de l'autoroute des larmes  (de 13 à 19 victimes) toutes amérindiennes, entre 1969 et 2011. Non identifié à ce jour. De forts soupçons pèsent sur  Bobby Jack Fowler    (en)  . ",  Meurtrier de l'autoroute des larmes  ,de 13 à 19 victimes,,,,,,,Canada
139,Canada, Douglas Moore (3 victimes) en 1986. Des enfants. , Douglas Moore ,3 victimes,,,,,,,Canada
140,Canada,  Clifford Olson  (1940-2011) (11 victimes) entre 1980 et 1981. ,  Clifford Olson  ,11 victimes,,,,,,,Canada
141,Canada,  Robert Pickton  (1949-) (entre 6 et 49 victimes). ,  Robert Pickton  ,entre 6 et 49 victimes,,,,,,,Canada
142,Canada,  Daniel Poirier  (4 victimes) entre 1990 et 1999. ,  Daniel Poirier  ,4 victimes,,,,,,,Canada
143,Canada,  Peter Woodcock  (4 victimes). ,  Peter Woodcock  ,4 victimes,,,,,,,Canada
144,Chili,"  Émile Dubois , (1867-1907) (5 victimes) entre 1882 et 1906. fusillé le   26   mars   1907  . ","  Émile Dubois , ",5 victimes,,,,,,,Chile
145,Chili,  Julio Pérez Silva    (en)   (1963-) (14 victimes) entre 1998 et 2001. Le « psychopathe d'Alto Hospicio ». ,  Julio Pérez Silva    ,14 victimes,,,,,,,Chile
146,Chili,  Jorge Sagredo et Carlos Topp    (en)   (10 victimes) entre 1980 et 1981. « Les psychopathes de Viña del Mar ». Exécutés le  29 janvier 1985 . ,  Jorge Sagredo et Carlos Topp    ,10 victimes,,,,,,,Chile
147,Chine,  Shen Changyin et Shen Changping  (11 victimes) entre 2003 et 2004. ,  Shen Changyin et Shen Changping  ,11 victimes,,,,,,,China
148,Chine,  Chen Fuzao  (16 victimes). ,  Chen Fuzao  ,16 victimes,,,,,,,China
149,Chine,  Chang Shin Liao et Chang Shan Hsui  (79 victimes). ,  Chang Shin Liao et Chang Shan Hsui  ,79 victimes,,,,,,,China
150,Chine,  Li Mingwu  (au moins 29 victimes). ,  Li Mingwu  ,au moins 29 victimes,,,,,,,China
151,Chine,  Liu Pengli  (au moins 100 victimes). ,  Liu Pengli  ,au moins 100 victimes,,,,,,,China
152,Chine,"  Wang Qiang    (en)   (1975-2005), (au moins 45 victimes) entre 1995 et 2003. ",  Wang Qiang    ,au moins 45 victimes,,,,,,,China
153,Chine,"  Gong Runbo  (1972-2007), (6 victimes) entre 2005 et 2006. A été fusillé. ",  Gong Runbo  ,6 victimes,,,,,,,China
154,Chine,"  Hu Wanlin    (en)   (1949-), (au moins 146 à 190 victimes). ",  Hu Wanlin    ,au moins 146 à 190 victimes,,,,,,,China
155,Chine,"  Yang Xinhai  (1968-2004), (67 victimes) entre 1999 et 2003. ",  Yang Xinhai  ,67 victimes,,,,,,,China
156,Chine,"  Huang Yong  (1974-2003), (au moins 17 à 25 victimes) entre 2001 et 2003. A été fusillé. ",  Huang Yong  ,au moins 17 à 25 victimes,,,,,,,China
157,Chine,"  Shi Yuejun  (1971-2006), (12 victimes) en 2006. A été fusillé. ",  Shi Yuejun  ,12 victimes,,,,,,,China
158,Chine,"  Gao Chengyong  (1964-2019), (au moins 11 victimes) entre 1988 et 2002. ",  Gao Chengyong  ,au moins 11 victimes,,,,,,,China
159,Colombie,  Daniel Camargo Barbosa  (1930-1994) (au moins 72 à 150 victimes) entre 1974 et 1986. Des jeunes femmes et filles vierges. ,  Daniel Camargo Barbosa  ,au moins 72 à 150 victimes,,,,,,,Colombia
160,Colombie,  Manuel Octavio Bermúdez    (en)   (1961-) (21 victimes) entre 1999 et 2003. « Le monstre des champs de canne à sucre ». ,  Manuel Octavio Bermúdez    ,21 victimes,,,,,,,Colombia
161,Colombie,  Luis Garavito  (1957-) (140 à plus de 172 ; plus de 300 victimes). ,  Luis Garavito  ,140 à plus de 172 ; plus de 300 victimes,,,,,,,Colombia
